"Force","Voltage","Acceleration1","Acceleration2","Acceleration3","Fs",
-14.9788,0.036142,-0.25429,-0.27521,-0.24912,400,
-23.82,0.056077,-0.16588,-0.26572,-0.16656,,
-32.2945,0.075349,-0.169,-0.18745,0.062333,,
-40.11,0.093284,-0.19548,-0.036368,0.075453,,
-46.8745,0.10927,-0.14352,0.1528,0.3118,,
-52.5684,0.12276,-0.044793,0.28687,0.55799,,
-56.7448,0.13332,0.0012583,0.49304,0.64344,,
-59.3261,0.14064,0.0085376,0.64359,0.98678,,
-60.3757,0.14452,0.10968,0.84752,1.019,,
-59.5994,0.14493,0.21129,0.99934,1.2979,,
-57.2643,0.14194,0.34888,1.2522,1.0342,,
-53.3781,0.13575,0.35007,0.86276,2.5856,,
-48.2097,0.12669,0.60871,1.2011,3.9819,,
-42.4193,0.11519,1.3948,1.4128,1.2448,,
-35.224,0.10172,1.2782,1.852,0.2917,,
-27.1109,0.086818,0.5819,2.0925,0.48405,,
-18.9673,0.07101,0.31676,2.3561,1.5448,,
-10.9419,0.054853,0.71754,2.4918,2.7063,,
-3.4618,0.038816,1.6707,2.1918,2.258,,
4.1147,0.023346,1.6741,2.2682,2.0987,,
11.6051,0.008793,1.0144,2.5421,2.314,,
17.9846,-0.0045822,0.90806,2.5926,2.0797,,
23.477,-0.016621,1.1405,2.4987,2.2698,,
28.0991,-0.027276,1.5208,2.1925,1.6493,,
31.99,-0.036585,1.6801,2.0687,2.0113,,
35.51,-0.044686,1.534,2.0553,1.8867,,
38.3963,-0.051801,1.3927,2.0341,1.9763,,
40.8241,-0.058213,1.2413,1.9946,2.0728,,
43.0769,-0.064219,1.1492,1.8279,1.4645,,
45.0231,-0.07018,1.2169,1.5922,1.1621,,
47.0529,-0.076407,1.3372,1.0907,0.78469,,
49.3581,-0.083199,1.3368,0.59424,0.58924,,
51.9812,-0.090825,1.2713,0.29816,0.4616,,
55.232,-0.099472,1.168,0.11519,0.069635,,
59.0459,-0.10926,0.95083,0.19429,0.12675,,
63.373,-0.12025,0.74794,0.097755,-0.091542,,
68.4224,-0.13237,0.47053,0.019154,-0.097983,,
73.7599,-0.1455,0.32501,-0.20361,-0.29644,,
79.4612,-0.15945,0.35957,-0.4211,-0.69687,,
85.3623,-0.17395,0.50556,-0.38759,-2.1505,,
91.4099,-0.18867,0.46727,-0.86179,-2.9196,,
97.7705,-0.20326,0.097489,-1.0894,-1.3161,,
103.5765,-0.21737,0.26622,-1.3277,-0.31755,,
108.7839,-0.23065,0.68572,-1.4643,-0.0079487,,
113.6156,-0.24271,0.9415,-1.5029,-0.71542,,
117.7917,-0.25327,0.79297,-1.6174,-1.6567,,
121.3845,-0.26207,0.29965,-1.3245,-1.6564,,
123.7421,-0.26889,0.26931,-1.3705,-1.6662,,
124.8352,-0.27357,0.58248,-1.6703,-1.1611,,
124.9979,-0.27605,0.93032,-1.9297,-1.6772,,
124.2133,-0.27628,0.97731,-2.1367,-2.2284,,
122.5611,-0.27428,0.57973,-1.9947,-1.4491,,
119.9198,-0.27013,0.37172,-1.9312,-1.6854,,
116.1731,-0.26393,0.21743,-1.7148,-1.5268,,
111.5295,-0.25577,0.19071,-1.6469,-1.6088,,
105.8558,-0.2458,0.44618,-1.6025,-1.7697,,
99.4631,-0.23413,0.54183,-1.4714,-1.3891,,
92.5394,-0.22085,0.56758,-1.5156,-1.2764,,
84.9983,-0.20605,0.39788,-1.3168,-0.90555,,
76.7158,-0.18978,0.23769,-1.0806,-0.95025,,
67.8126,-0.17205,0.28726,-0.83243,-0.90382,,
58.1802,-0.15287,0.24549,-0.54053,-0.30696,,
48.003,-0.13222,0.097666,-0.36465,-0.39857,,
37.1108,-0.11006,-0.043312,-0.13431,-0.066547,,
25.3925,-0.086358,-0.031081,-0.067876,-0.017657,,
13.0832,-0.061119,0.062751,0.094547,0.2033,,
0.061985,-0.034358,0.10852,0.042246,0.52304,,
-13.5646,-0.0061407,-0.090292,-0.29779,2.53,,
-27.7957,0.023399,-0.055459,0.11073,2.9538,,
-42.8393,0.05406,0.18832,0.46736,0.43809,,
-57.7876,0.085568,-0.33783,0.88132,-1.0222,,
-72.7554,0.11755,-1.207,1.0048,-0.73,,
-87.9783,0.14958,-1.6174,1.0409,0.23686,,
-103.1092,0.18114,-1.3686,0.98276,0.32194,,
-117.7669,0.21166,-1.0174,0.62599,0.4627,,
-131.2421,0.24055,-1.3158,0.54715,0.60246,,
-143.3097,0.26715,-1.7826,0.73569,0.56786,,
-154.1892,0.29086,-2.0017,1.0526,0.95568,,
-163.3909,0.31108,-1.933,1.0507,0.95741,,
-170.5933,0.32732,-1.8543,0.96555,0.57114,,
-175.5704,0.33909,-1.9262,0.9512,0.78026,,
-178.1236,0.34612,-1.8881,0.87806,0.88176,,
-178.3,0.34819,-1.817,0.7697,0.97327,,
-175.9626,0.34528,-1.923,0.61493,0.84892,,
-171.2034,0.33753,-2.0112,0.56326,0.57442,,
-164.4264,0.3252,-1.9384,0.57524,0.3261,,
-155.7,0.30877,-1.6653,0.39811,0.17936,,
-145.2428,0.28881,-1.4529,0.13847,0.22534,,
-133.4057,0.26608,-1.4739,-0.14783,0.081343,,
-120.5495,0.24136,-1.3609,-0.21098,-0.058047,,
-107.262,0.21557,-1.1712,-0.14758,-0.055126,,
-93.8859,0.18963,-1.0959,-0.13507,-0.11005,,
-80.6712,0.16444,-1.2792,-0.12916,-0.075753,,
-68.3748,0.14087,-1.4883,-0.19456,-0.26176,,
-57.2869,0.1197,-1.4808,-0.32446,-0.4818,,
-47.8743,0.1016,-1.1912,-0.61283,-0.72737,,
-40.3549,0.087076,-0.84549,-1.0143,-1.0046,,
-34.517,0.076449,-0.67218,-1.28,-1.2167,,
-30.5633,0.069875,-0.78863,-1.2514,-1.5158,,
-28.5114,0.067291,-1.0675,-1.2183,-1.5145,,
-28.2689,0.06845,-1.2054,-1.1611,-1.3444,,
-29.907,0.072912,-1.076,-1.0244,-2.7622,,
-32.6161,0.080078,-1.261,-1.0398,-3.3355,,
-35.9718,0.089209,-1.8726,-1.1156,-2.0007,,
-40.1892,0.099482,-1.9525,-1.4244,-0.84997,,
-44.7013,0.10997,-1.3002,-1.7864,-0.73096,,
-48.9368,0.11977,-0.52668,-2.2329,-0.94274,,
-52.0972,0.12799,-0.31883,-2.3263,-0.85028,,
-53.7027,0.13379,-0.5704,-1.9744,-0.71342,,
-54.067,0.13646,-0.53851,-1.6656,-1.004,,
-52.7681,0.13542,-0.18613,-1.489,-1.1047,,
-49.3777,0.13025,-0.00097607,-1.1178,-0.66704,,
-43.9873,0.12073,0.16051,-0.74186,-0.69792,,
-36.2458,0.10684,0.12528,-0.60278,-0.25954,,
-26.57,0.088735,0.17222,-0.47347,-0.048291,,
-15.2841,0.066759,0.51453,-0.23999,0.24069,,
-2.3863,0.041464,0.89334,0.119,0.4358,,
11.571,0.013496,1.2864,0.45764,0.55172,,
26.4952,-0.016363,1.4567,0.93399,0.88514,,
41.9052,-0.047252,1.4243,1.5291,1.3744,,
57.089,-0.078317,1.5543,2.2553,1.7859,,
71.874,-0.10866,1.8128,2.7773,2.3624,,
85.7374,-0.13749,2.0829,3.055,2.8405,,
98.2565,-0.16405,2.4354,3.3378,3.1919,,
109.4066,-0.18772,2.6689,3.6558,3.1621,,
118.6515,-0.20804,2.8977,3.9317,3.0833,,
125.9921,-0.22466,3.1125,3.9059,3.128,,
131.3494,-0.23746,3.273,3.6391,3.1261,,
134.6205,-0.2464,3.4342,3.4484,3.2462,,
136.1757,-0.25165,3.4585,3.4516,3.0818,,
136.0882,-0.2535,3.1925,3.595,3.101,,
134.4604,-0.25233,2.7545,3.643,3.2648,,
131.5895,-0.24862,2.4511,3.4448,3.2699,,
127.3441,-0.24286,2.4852,3.1761,2.9549,,
122.2777,-0.23557,2.6436,2.7217,2.4481,,
116.7322,-0.22725,2.5954,2.134,2.0091,,
110.9152,-0.21832,2.3315,1.4837,1.5018,,
105.0773,-0.20913,2.0677,0.96429,0.89395,,
99.1274,-0.19992,1.8985,0.66821,0.564,,
93.148,-0.19084,1.7144,0.3666,0.35912,,
87.448,-0.18187,1.3784,0.055869,0.2656,,
81.7015,-0.17291,0.91833,-0.12661,0.047896,,
75.9165,-0.16376,0.49442,-0.27561,-0.35711,,
69.7903,-0.15412,0.26096,-0.57527,-0.70679,,
63.1699,-0.14365,0.16917,-1.1684,-1.1725,,
56.2061,-0.13196,0.0034927,-1.8373,-1.5453,,
48.5953,-0.11871,-0.30563,-2.2587,-1.8513,,
40.1051,-0.10358,-0.69276,-2.4508,-2.2816,,
30.8573,-0.086337,-1.1391,-2.5707,-2.4306,,
20.4638,-0.066858,-1.5229,-2.6567,-2.5736,,
9.1361,-0.045157,-1.8692,-2.7049,-2.6859,,
-3.1362,-0.021376,-2.1389,-2.7835,-2.8661,,
-16.2631,0.0041512,-2.2443,-2.9854,-3.119,,
-29.7636,0.03095,-2.2478,-3.3082,-3.1234,,
-43.4938,0.058402,-2.1885,-3.6471,-3.211,,
-57.1021,0.08578,-2.1734,-3.8083,-3.3289,,
-69.9018,0.11224,-2.304,-3.7891,-3.433,,
-81.7613,0.1369,-2.5328,-3.6638,-3.3695,,
-92.0924,0.15884,-2.7425,-3.4926,-3.1029,,
-100.5749,0.17721,-2.869,-3.2699,-2.9418,,
-106.9183,0.19123,-2.8858,-3.0159,-2.7651,,
-110.5614,0.20022,-2.7698,-2.8057,-2.537,,
-111.4713,0.2037,-2.5266,-2.6332,-2.2327,,
-109.5259,0.20139,-2.2055,-2.4011,-1.8956,,
-104.5418,0.19323,-1.866,-2.0596,-1.6337,,
-96.8454,0.17939,-1.5729,-1.6349,-1.2711,,
-86.5052,0.16032,-1.3078,-1.1907,-0.82593,,
-73.9088,0.13668,-1.0244,-0.7531,-0.39622,,
-59.6145,0.10935,-0.75559,-0.17728,0.024672,,
-43.902,0.079406,-0.48845,0.37785,0.37718,,
-27.5689,0.048034,-0.19722,0.91989,0.71223,,
-11.2839,0.016525,0.13093,1.3081,1.1801,,
4.3975,-0.013802,0.54084,1.7858,1.5054,,
18.7102,-0.041692,0.85362,1.8978,2.1187,,
31.2393,-0.065956,1.0546,2.0626,3.9675,,
41.1815,-0.085584,1.5771,2.3297,3.3913,,
48.3354,-0.099756,1.8807,2.6669,1.9967,,
53.0029,-0.10793,1.4409,3.0036,1.342,,
54.5244,-0.10982,0.91951,3.2724,1.3698,,
52.713,-0.10549,0.68997,3.3997,1.6071,,
47.7953,-0.095256,0.98896,2.8996,2.77,,
40.0199,-0.079781,1.4449,2.5845,2.5216,,
30.4258,-0.059978,1.3186,2.3082,1.7137,,
19.4922,-0.036983,0.73007,2.1547,1.8015,,
